@relation spambase-weka.filters.unsupervised.attribute.RandomProjection-N10-R72-DSparse1_clustered

@attribute Instance_number numeric
@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute Class {1,0}
@attribute Cluster {cluster0,cluster1}

@data
34,50.343789,-41.801314,-3.533384,0.320429,48.74857,453.72803,-406.477684,-449.874217,48.868081,-410.868432,1,cluster1
35,6.867581,-5.5824,-0.533472,-7.106604,10.392305,47.73532,-32.908965,-33.205146,2.909845,-32.908965,1,cluster1
36,27.958764,-14.365629,-5.847404,-1.51208,15.69238,50.229473,-29.444864,-53.251902,17.190604,-29.444864,1,cluster0
37,140.455464,-131.582168,-7.300594,-3.374035,135.099963,410.582644,-278.028796,-408.225323,124.408013,-281.388974,1,cluster0
38,108.634227,-102.814536,-5.161511,-2.499349,105.67242,321.312745,-216.506351,-319.776416,96.937688,-218.18644,1,cluster0
39,213.47353,-205.073084,-5.140727,-4.174242,209.595468,494.344621,-283.346192,-487.863287,200.17138,-286.221396,1,cluster0
40,51.499067,-44.544883,-4.673073,0.178401,53.52037,390.906547,-348.505943,-382.866367,45.958236,-338.945023,1,cluster0
41,27.712813,-14.436643,-5.672466,-1.162206,15.69238,48.497423,-27.712813,-50.820103,17.78643,-27.712813,1,cluster0
42,27.712813,-14.471284,-5.707107,-1.231488,15.69238,48.497423,-27.712813,-50.958667,17.717148,-27.712813,1,cluster0
43,4.979646,-4.705982,-2.878668,-3.613058,7.569062,117.138596,-112.132969,-111.783095,4.591667,-112.115649,1,cluster1
44,63.354954,-63.453681,0.711873,-1.603879,65.367597,586.264557,-522.247959,-585.097155,57.930171,-522.698293,1,cluster1
45,228.771003,-217.820978,-7.340431,-3.841689,225.68622,1339.550774,-1117.276694,-1330.540646,209.150331,-1118.575732,1,cluster0
46,17.363809,-19.376452,-4.363036,-2.320948,22.655225,765.549136,-745.821078,-756.476654,16.541085,-745.21486,1,cluster0
47,-1.077336,-16.492588,-3.186973,8.313844,5.230793,162.778135,-150.6711,-152.524394,20.476305,-148.97369,1,cluster1
48,337.448531,-325.97023,-4.106692,0.204382,336.294985,5265.486417,-4933.885289,-5257.553624,321.60373,-4932.724815,1,cluster0
49,68.788398,-61.382149,-2.137351,0.235559,68.935622,1556.161048,-1486.549926,-1547.49733,62.449092,-1487.121503,1,cluster0
50,25.547749,-22.672545,-13.30215,-3.325538,17.459072,50.506602,-36.373067,-50.506602,12.695932,-43.024142,1,cluster0
51,50.219081,-48.854225,-3.900578,1.025374,55.131177,310.677953,-259.339967,-306.067234,43.658073,-263.774017,1,cluster1
52,74.135239,-72.361619,-1.595219,-1.42721,74.911197,1299.038106,-1225.235421,-1295.251843,71.608177,-1225.529869,1,cluster0
53,38.609145,-20.623529,-5.740016,1.839438,27.26248,117.329122,-92.249026,-118.015014,19.248281,-90.066642,1,cluster0
54,50.194832,-48.862885,-3.921363,1.662769,55.113857,304.840942,-254.161136,-301.482496,43.644216,-258.612506,1,cluster1
55,51.684396,-52.255973,-3.75855,-0.689356,50.090909,179.838835,-131.635861,-184.286742,47.808066,-135.394412,1,cluster1
56,98.3164,-101.971027,-4.151726,-0.959556,102.190998,247.458099,-150.68842,-246.33573,95.273187,-152.507074,1,cluster0
57,15.782447,-20.694543,-8.764177,-2.182384,13.856406,81.752798,-74.478185,-81.770119,7.548277,-83.242362,1,cluster0
58,108.109415,-103.200783,-5.490601,-3.379231,105.67242,344.833995,-240.755062,-345.095535,96.66922,-243.110651,1,cluster0
59,213.428497,-205.842114,-5.934006,-4.068587,209.578148,491.902429,-281.59682,-485.900873,200.318604,-285.234127,1,cluster0
60,125.544239,-99.443965,-3.510867,0,115.337263,430.258741,-315.943388,-427.638148,97.400145,-316.965298,1,cluster1
61,9.827656,-19.760968,-3.746426,-1.117173,19.052559,112.254213,-94.43141,-101.257422,16.508176,-98.137999,1,cluster1
62,12.216154,-13.089108,-5.611845,-0.677232,12.245599,127.49626,-118.454955,-125.208221,13.76634,-116.844147,1,cluster0
63,20.73438,-27.67644,-8.345021,-1.260933,26.569659,160.370584,-140.296115,-159.847505,22.781664,-145.613511,1,cluster0
64,56.106322,-61.342311,-8.67411,-2.11137,58.266189,306.763519,-254.542187,-303.140068,55.647328,-257.469353,1,cluster0
65,56.402502,-55.661185,-2.286307,-1.532865,56.60342,209.578148,-148.402113,-207.681552,50.698859,-150.68842,1,cluster1
66,85.759032,-73.889287,-6.541956,-3.548972,78.912235,329.280179,-254.594148,-334.653001,75.668104,-258.820352,1,cluster0
67,-5.431711,-8.185672,-2.546115,-0.866025,5.196152,24.352634,-21.702597,-20.12643,4.773532,-26.794826,1,cluster1
68,106.857143,-109.753131,-2.391962,1.796137,111.111059,524.257138,-410.4614,-514.597491,108.862857,-411.569913,1,cluster1
69,107.021687,-94.313631,-0.521347,0,105.585817,244.219164,-142.028166,-244.567306,97.535245,-142.028166,1,cluster1
70,605.143911,-380.271755,-8.746857,-0.930111,497.098582,489.165789,-7.378536,-487.896196,364.030314,-5.178832,1,cluster0
71,108.923479,-101.6021,-5.65861,-2.436995,105.655099,322.975514,-218.238402,-320.955943,96.411144,-220.074376,1,cluster0
72,213.25356,-205.232432,-5.513118,-2.93929,209.595468,485.926854,-276.366027,-482.04706,199.972194,-279.449077,1,cluster0
73,19.877015,-19.579102,-5.963451,0.280592,21.719917,188.135359,-168.805672,-184.667793,18.676704,-169.602415,1,cluster0
74,139.951437,-132.051554,-7.22958,-3.33593,135.099963,405.421133,-272.832643,-403.077668,124.951877,-276.175501,1,cluster0
75,463.721963,-378.453101,-3.256256,0.907595,421.078872,554.048412,-124.811581,-548.273755,379.360696,-128.067837,1,cluster0
76,23.833019,-27.773435,-3.493546,-4.373428,28.734723,174.226991,-145.492268,-163.540237,22.236068,-147.536088,1,cluster1
77,77.595876,-73.811345,-2.371178,0.640859,80.216469,1845.171046,-1770.242528,-1840.873828,69.115755,-1770.739626,1,cluster0
78,26.344493,-21.373507,-4.330127,-2.757425,23.833019,304.182763,-275.655886,-297.968165,25.388401,-277.50918,1,cluster0
79,2.435263,-5.774657,-9.69602,0,17.770841,17.320508,-8.660254,-8.209921,-3.921363,-8.660254,1,cluster0
80,47.66777,-45.100871,-1.922576,-2.478565,50.229473,195.531216,-147.224319,-190.319475,40.69973,-149.146895,1,cluster1
81,486.950496,-479.539051,-3.503939,-0.299645,484.575854,895.245101,-413.52713,-893.720896,475.854979,-416.003963,1,cluster0
82,7.912008,-9.967952,-5.218669,2.935826,8.816139,108.149252,-95.557243,-97.96133,11.639381,-91.798693,1,cluster0
83,16.787036,-10.269329,-4.747551,-1.254005,15.588457,76.69521,-61.106752,-69.394616,11.232349,-58.889727,1,cluster0
84,56.132303,-37.879951,-0.48151,-1.44453,46.765372,204.381995,-157.616623,-206.308036,36.435421,-157.616623,1,cluster1
85,112.567714,-102.866497,-8.564991,-0.989001,106.03615,363.280336,-261.279864,-364.409634,104.693811,-261.297185,1,cluster0
86,34.601179,-33.575805,-6.292541,-0.781155,34.641016,270.33849,-241.655729,-268.663597,32.013495,-241.69037,1,cluster0
87,40.777672,-41.525918,-7.30579,0.904131,45.033321,182.592796,-138.927795,-175.293934,34.220128,-140.296115,1,cluster0
88,253.968878,-245.774545,-2.774745,-0.148956,250.22938,1461.244664,-1214.410103,-1461.424797,242.601428,-1216.263398,1,cluster0
89,48.416016,-33.255376,-1.997055,0,39.837169,65.817931,-25.980762,-67.814985,33.255376,-25.980762,1,cluster1
90,240.848593,-235.811789,-7.799425,-6.725553,240.547216,333.108011,-94.500692,-323.760133,229.479411,-91.590847,1,cluster0
91,337.70141,-325.649801,-4.10496,0.254611,336.243023,5261.970353,-4930.421188,-5254.006384,321.319674,-4929.295355,1,cluster0
92,1327.054027,-1309.74218,-4.047803,-0.166277,1323.04433,4247.646759,-2929.850544,-4241.200066,1306.026931,-2929.105762,1,cluster0
93,1327.054027,-1309.74218,-4.046071,-0.164545,1323.04433,4247.646759,-2929.850544,-4241.198334,1306.030395,-2929.105762,1,cluster0
94,21.934691,-16.489124,-7.875635,-0.938772,24.768327,179.856156,-151.883535,-171.275576,10.937901,-163.089904,1,cluster0
95,56.024915,-50.790658,-0.814064,-0.796743,56.23969,158.413367,-100.58019,-152.784202,49.959273,-102.190998,1,cluster1
96,107.908497,-102.383255,-5.061052,-2.223953,104.442664,540.919467,-435.870586,-539.093886,97.128213,-438.901675,1,cluster0
97,108.542428,-102.2776,-4.723303,-2.019571,105.655099,383.770497,-278.86018,-382.320771,98.023683,-280.349744,1,cluster0
98,35.330372,-20.282315,-0.897202,2.258594,30.161933,331.860935,-300.32029,-329.801526,21.465306,-299.620541,1,cluster1
99,32.044672,-28.862895,-5.30354,-2.236078,35.056708,199.601535,-162.397084,-189.046417,24.293745,-166.69257,1,cluster0
100,-0.150688,-5.641289,-9.803408,-3.117691,0.294449,48.306897,-46.765372,-44.028732,8.655058,-49.207563,1,cluster0
101,237.798452,-208.514669,-0.327358,0.453797,227.390558,506.867348,-279.968693,-501.309197,210.530776,-277.259765,1,cluster1
102,42.393676,-29.107114,-1.058283,-2.648306,38.105118,108.547624,-76.210236,-118.550218,31.698262,-76.210236,1,cluster1
103,237.798452,-208.514669,-0.327358,0.453797,227.390558,506.867348,-279.968693,-501.309197,210.530776,-277.259765,1,cluster1
104,42.393676,-29.107114,-1.058283,-2.648306,38.105118,108.547624,-76.210236,-118.550218,31.698262,-76.210236,1,cluster1
105,237.798452,-208.514669,-0.327358,0.453797,227.390558,506.867348,-279.968693,-501.309197,210.530776,-277.259765,1,cluster1
106,42.393676,-29.107114,-1.058283,-2.648306,38.105118,108.547624,-76.210236,-118.550218,31.698262,-76.210236,1,cluster1
107,42.866525,-26.902213,-0.400104,2.537454,38.706139,290.984536,-254.247738,-289.046371,30.00778,-250.910076,1,cluster1
108,42.393676,-29.107114,-1.058283,-2.648306,38.105118,108.547624,-76.210236,-118.550218,31.698262,-76.210236,1,cluster1
109,104.418415,-100.032862,-3.39482,0,103.923048,121.382121,-20.853892,-121.382121,96.638043,-27.643531,1,cluster1
110,5.828351,-9.89867,0,0.957824,7.863511,58.092984,-50.229473,-65.65685,15.117339,-50.229473,1,cluster1
111,47.943166,-40.351588,-0.254611,1.36832,46.765372,116.047404,-70.650352,-112.179735,41.719908,-67.913712,1,cluster1
112,140.185264,-132.162405,-3.59747,-1.872347,138.148372,364.146362,-228.630707,-361.513645,129.881294,-229.947065,1,cluster1
113,13.168782,-9.893474,-4.737159,-1.645448,11.206369,133.454515,-124.707658,-134.086713,7.433962,-126.353106,1,cluster0
114,68.424667,-59.104502,-8.258418,-1.473975,64.343955,878.374926,-807.724574,-867.894287,55.366736,-814.671829,1,cluster0
115,34.713762,-32.143399,-3.689268,-2.705463,32.025619,251.996072,-219.087107,-249.557344,29.437936,-222.62049,1,cluster1
116,167.948307,-162.431725,-2.274183,-0.699749,167.0563,1018.099465,-852.775215,-1015.239849,160.661569,-854.074253,1,cluster0
117,167.948307,-162.416136,-2.258594,-0.699749,167.0563,1009.439211,-844.114961,-1006.564006,160.64598,-845.413999,1,cluster0
118,686.629973,-359.805842,-11.085125,-0.938772,526.543446,517.952473,-9.145228,-518.891245,341.130871,-9.145228,1,cluster0
119,240.742938,-235.983262,-7.757856,-5.868188,240.581857,333.887434,-96.215422,-326.675175,229.507124,-93.322898,1,cluster0
120,167.948307,-162.431725,-2.274183,-0.699749,167.0563,1018.099465,-852.775215,-1015.239849,160.661569,-854.074253,1,cluster0
121,167.948307,-162.416136,-2.258594,-0.699749,167.0563,1009.439211,-844.114961,-1006.564006,160.64598,-845.413999,1,cluster0
122,1036.49038,-1018.807873,-4.932881,0.225167,1031.57482,4178.503291,-3151.864816,-4171.874733,1014.500263,-3150.461855,1,cluster0
123,267.132464,-248.46442,-3.089979,-2.324412,258.352698,1701.151021,-1442.244066,-1699.126254,246.844953,-1444.461091,1,cluster0
124,88.937345,-82.414442,-3.207758,-1.752835,85.927041,480.990509,-396.639635,-481.229532,81.080762,-397.696186,1,cluster1
125,177.651255,-173.175636,-6.502119,-3.245863,175.491388,1131.877882,-964.7523,-1133.668823,159.062886,-969.134388,1,cluster0
126,94.370788,-92.879493,-8.325968,-3.635575,91.798693,280.540269,-190.508268,-275.635101,86.285575,-198.371779,1,cluster0
127,65.211713,-42.93754,-3.08305,-0.739586,58.179587,291.365587,-238.312871,-286.943661,39.097583,-239.352101,1,cluster1
128,18.079146,-24.182893,-9.373859,-3.994109,23.209481,193.29687,-176.322772,-186.898674,12.893386,-175.629952,1,cluster0
129,622.987499,-531.025993,-4.553562,-0.969948,581.657302,777.967941,-199.895984,-768.181854,523.337419,-202.771188,1,cluster0
130,138.844657,-129.898614,-4.776996,-2.352125,135.099963,491.659942,-354.585441,-487.948157,125.920094,-359.850876,1,cluster0
131,15.898494,-19.435342,-4.849742,0.483242,19.398969,160.387905,-146.531498,-156.440561,18.532944,-146.531498,1,cluster0
132,34.244377,-30.761222,-3.084782,-2.98952,31.939017,249.415316,-214.566454,-244.802865,28.741651,-218.446248,1,cluster1
133,44.054712,-38.553719,-2.542651,-4.120549,42.95486,302.779802,-261.47039,-297.502243,38.583164,-260.067429,1,cluster1
134,52.784248,-36.373067,-1.118905,-0.372391,47.683359,136.01795,-86.152207,-132.380643,35.254162,-88.334591,1,cluster1
135,54.206262,-51.029681,-3.859009,0.415692,51.649755,1263.72159,-1211.708104,-1261.518421,49.817245,-1211.725424,1,cluster0
136,54.206262,-51.029681,-3.859009,0.415692,51.649755,1263.72159,-1211.708104,-1261.518421,49.817245,-1211.725424,1,cluster0
137,40.69973,-25.256765,-1.612539,0.363731,39.837169,531.150701,-491.296212,-521.104806,26.969763,-488.455648,1,cluster1
138,2.788602,-1.558846,-5.161511,2.580756,0.883346,16.471803,-15.588457,-21.633315,4.139601,-20.749969,1,cluster0
139,21.415076,-20.266726,-4.996967,-0.017321,19.052559,116.670942,-100.458947,-117.372423,15.988561,-101.879229,1,cluster0
140,40.69973,-25.256765,-1.612539,0.363731,39.837169,531.150701,-491.296212,-521.104806,26.969763,-488.455648,1,cluster1
141,40.031158,-31.433258,2.253398,-0.966484,39.837169,59.617189,-25.253301,-60.583673,38.193452,-22.51666,1,cluster1
142,1036.49038,-1018.807873,-4.932881,0.225167,1031.57482,4178.503291,-3151.864816,-4171.874733,1014.500263,-3150.461855,1,cluster0
143,40.031158,-31.433258,2.253398,-0.966484,39.837169,59.617189,-25.253301,-60.583673,38.193452,-22.51666,1,cluster1
144,-6.493458,-6.19901,-9.595561,1.169134,5.871652,22.51666,-19.052559,-14.159515,-2.227417,-21.442789,1,cluster0
145,56.728128,-39.357391,-1.118905,-0.372391,51.14746,137.750001,-84.420156,-134.112694,38.238486,-86.60254,1,cluster1
146,40.69973,-25.256765,-1.612539,0.363731,39.837169,531.150701,-491.296212,-521.104806,26.969763,-488.455648,1,cluster1
147,236.274247,-219.255116,-2.551311,-2.925434,228.630707,1734.042666,-1504.667178,-1732.509801,217.682413,-1506.381908,1,cluster0
148,63.921335,-55.046307,0.8106,-1.997055,61.245317,213.665788,-156.179021,-210.343714,58.991918,-154.308406,1,cluster1
149,26.997476,-31.199431,-8.731268,0.892006,30.709261,222.204798,-202.286214,-217.606203,20.138555,-198.06001,1,cluster0
150,27.991673,-28.35194,-2.026499,-0.452065,34.935465,196.778292,-168.597826,-189.782539,27.899874,-163.869327,1,cluster1
151,241.070295,-235.55025,-7.823673,-6.183421,240.547216,325.192539,-87.572489,-318.137896,228.76061,-84.645323,1,cluster0
152,3.540312,-5.691519,-8.17528,-6.183421,7.517101,57.140356,-50.80105,-48.168333,0.685892,-53.139319,1,cluster0
153,29.268195,-25.265425,-2.329608,-2.901185,26.638941,207.846097,-179.059412,-206.633661,23.438112,-181.207155,1,cluster1
154,33.196486,-30.958676,-1.835974,-3.748158,32.337389,353.355685,-317.554195,-346.139962,29.531466,-319.857823,1,cluster1
155,6.677056,-19.061219,-4.122281,8.244562,10.807997,61.69565,-55.009934,-57.573369,23.1835,-50.887653,1,cluster1
156,401.627941,-244.981266,-9.295917,-0.20265,324.430437,492.664532,-181.865335,-499.691462,233.213713,-188.689615,1,cluster0
157,86.439728,-70.025082,-4.148262,-1.03057,79.674337,200.311676,-124.534453,-199.203163,70.570678,-122.975607,1,cluster1
158,192.281888,-178.394305,-2.944486,-1.884471,186.056898,345.66538,-161.825507,-344.605365,171.331002,-158.8637,1,cluster1
159,184.139518,-159.274196,13.605259,0.093531,156.771383,1050.887186,-863.583212,-1050.727838,158.486113,-880.190115,1,cluster1
160,181.905172,-161.058208,9.9489,0.190526,159.527076,1111.231837,-927.686413,-1112.103058,160.55245,-941.485661,1,cluster1
161,21.927763,-16.489124,-7.856582,-0.937039,24.768327,179.856156,-151.883535,-171.266916,10.951757,-163.089904,1,cluster0
162,63.41904,-61.693918,-4.059927,0.545596,64.553534,754.879703,-691.590567,-748.815794,60.715309,-692.352669,1,cluster0
163,24.55182,-17.699827,-4.908632,0,23.122878,205.507828,-182.419591,-202.726155,15.898494,-185.970295,1,cluster0
164,21.927763,-16.489124,-7.856582,-0.937039,24.768327,179.856156,-151.883535,-171.266916,10.951757,-163.089904,1,cluster0
165,31.563162,-39.797331,-5.906293,-1.969342,41.326732,190.109897,-154.152522,-180.786267,28.163146,-155.226393,1,cluster0
166,68.502609,-51.095499,-3.637307,-3.637307,58.889727,185.242834,-128.17176,-188.880141,54.732806,-129.990413,1,cluster1
167,109.216196,-100.964706,-6.231919,-1.818653,106.278638,449.103454,-344.678111,-446.744401,94.833246,-346.514085,1,cluster0
168,237.507467,-219.251651,-3.193902,-2.213561,228.907835,1634.536347,-1405.905641,-1634.461869,217.413946,-1408.26123,1,cluster0
169,65.691491,-41.643698,-1.991858,-0.897202,58.144946,294.933612,-241.742331,-290.807866,39.724585,-242.746921,1,cluster1
170,128.717356,-115.633444,-3.405212,-3.290897,123.858953,981.743718,-856.914817,-975.60533,115.096508,-858.73347,1,cluster0
171,88.544169,-82.047247,-6.952452,-0.706677,84.345678,989.451344,-912.219199,-991.216304,75.035905,-916.069548,1,cluster0
172,33.527307,-32.04294,-4.082444,-3.27704,32.04294,297.046713,-263.271723,-294.013893,28.7659,-267.60185,1,cluster0
173,29.384242,-25.237712,-2.036892,-3.434657,26.777505,225.166605,-195.583177,-224.05636,22.738363,-198.389099,1,cluster1
174,21.564033,-24.993493,-5.403999,-0.188794,25.980762,84.87049,-64.293726,-74.251286,16.698702,-57.538728,1,cluster0
175,26.117594,-29.169468,-5.300075,-1.676625,31.176915,147.224319,-121.34748,-136.534101,23.959459,-117.814096,1,cluster0
176,5.369358,-1.558846,31.488684,0,3.464102,19.052559,-15.588457,-50.541243,1.558846,-47.077141,1,cluster1
177,47.30404,-48.911383,-4.893044,-2.289771,48.497423,260.933454,-213.250095,-257.926614,43.128065,-217.874671,1,cluster0
178,212.638681,-204.894682,-6.379143,-2.152939,210.149724,563.50541,-354.498839,-558.891226,198.740706,-357.356723,1,cluster0
179,26.117594,-29.169468,-5.300075,-1.678357,31.176915,147.224319,-121.34748,-136.535833,23.957727,-117.814096,1,cluster0
180,523.226568,-508.968326,-0.9457,0.199186,519.476678,1202.337709,-682.410698,-1195.47186,511.036395,-683.311364,1,cluster1
181,107.565551,-100.138517,-1.276521,0.095263,107.525714,930.405732,-823.018582,-923.455012,102.185801,-823.6248,1,cluster1
182,191.173376,-179.502817,-3.013768,-1.446262,186.074218,309.274992,-125.469761,-307.707486,172.75648,-122.438672,1,cluster1
183,46.519421,-48.916579,-4.873991,-2.530526,48.497423,262.682825,-214.982146,-259.154638,42.928879,-219.589401,1,cluster0
184,10.731787,-9.860565,-0.102191,-0.204382,12.124356,117.779455,-104.408023,-113.703939,9.656183,-105.655099,1,cluster1
185,3.464102,0,0,-3.038017,1.732051,12.124356,-10.392305,-15.162373,-3.038017,-10.392305,1,cluster1
186,24.764862,-21.816912,-2.483761,-0.782887,24.976173,525.019241,-501.220863,-521.790698,19.85623,-501.982965,1,cluster1
187,109.444826,-92.997272,-10.825318,-5.421319,98.51905,108.911355,-15.796303,-103.490036,98.40127,-10.392305,1,cluster0
188,138.200334,-146.006687,-5.720964,2.268987,149.978279,417.528168,-263.877941,-404.099578,142.44559,-269.385862,1,cluster0
189,82.818009,-73.577518,-4.286826,-1.065211,78.877594,162.241199,-88.196027,-162.708853,74.919858,-87.433925,1,cluster1
190,1.378712,-12.079322,-11.674022,2.927166,4.76314,83.450208,-83.554131,-78.617786,7.194939,-83.588772,1,cluster0
191,70.884179,-75.785883,-5.8526,-4.867063,74.478185,276.036937,-211.864455,-278.617693,66.209374,-222.170157,1,cluster0
192,19.144358,-21.039221,-8.331164,-0.661643,16.610367,170.762889,-152.766881,-174.230455,17.588976,-158.326764,1,cluster0
193,236.355653,-219.710645,-2.850956,-2.700267,228.890514,1695.937548,-1466.544739,-1694.179517,218.063465,-1468.536598,1,cluster0
194,88.544169,-82.047247,-6.952452,-0.706677,84.345678,989.451344,-912.219199,-991.216304,75.035905,-916.069548,1,cluster0
195,20.015579,-18.072218,-1.657573,-0.509223,19.052559,107.71624,-88.663681,-107.059792,14.24785,-91.469603,1,cluster1
196,117.646087,-111.365671,-3.242399,-3.914435,120.585377,315.371811,-193.851126,-305.256634,107.950067,-196.657049,1,cluster1
197,88.544169,-82.047247,-6.952452,-0.729193,84.345678,989.451344,-912.219199,-991.238821,75.013388,-916.069548,1,cluster0
198,117.924947,-111.104131,-3.20949,-3.90231,120.568057,313.62244,-192.153717,-303.599062,107.698919,-194.924998,1,cluster1
199,28.060955,-24.827216,-6.48653,3.469298,29.444864,156.715957,-125.521722,-155.29914,24.693848,-130.839118,1,cluster0
200,240.266624,-235.650709,-7.607167,-5.603184,240.616498,363.40158,-125.642966,-355.202051,228.504267,-121.849774,1,cluster0
201,139.315775,-130.955165,-4.408069,-3.697928,135.099963,440.997456,-303.247455,-436.816285,125.60486,-307.231172,1,cluster0
202,139.433554,-130.873759,-4.482547,-3.531652,135.099963,442.729507,-304.927545,-438.262548,125.668946,-308.980544,1,cluster0
203,83.434619,-81.664464,-9.734126,-3.07439,82.895952,241.170754,-169.498492,-246.773939,72.33737,-174.763926,1,cluster0
204,53.591384,-41.718176,-3.791459,-0.722265,58.30083,630.310609,-579.5442,-624.792296,43.555882,-576.374547,1,cluster0
205,34.320587,-30.686744,-3.086515,-3.005108,31.939017,237.290961,-202.442098,-232.69583,28.651584,-206.321892,1,cluster1
206,29.619801,-24.990029,-2.076729,-2.499349,26.760185,209.578148,-179.960079,-207.451189,23.443308,-182.817963,1,cluster1
207,71.989228,-74.680835,-5.798906,-4.808173,74.478185,278.964103,-213.579185,-280.360136,67.451255,-222.689772,1,cluster0
