@relation spambase-weka.filters.unsupervised.attribute.RandomProjection-N35-R71-DSparse1_clustered

@attribute Instance_number numeric
@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute K11 numeric
@attribute K12 numeric
@attribute K13 numeric
@attribute K14 numeric
@attribute K15 numeric
@attribute K16 numeric
@attribute K17 numeric
@attribute K18 numeric
@attribute K19 numeric
@attribute K20 numeric
@attribute K21 numeric
@attribute K22 numeric
@attribute K23 numeric
@attribute K24 numeric
@attribute K25 numeric
@attribute K26 numeric
@attribute K27 numeric
@attribute K28 numeric
@attribute K29 numeric
@attribute K30 numeric
@attribute K31 numeric
@attribute K32 numeric
@attribute K33 numeric
@attribute K34 numeric
@attribute K35 numeric
@attribute Class {1,0}
@attribute Cluster {cluster0,cluster1}

@data
10,8.313844,-39.698605,9.529744,38.451528,15.380611,-3.325538,1.662769,-0.862561,33.047529,-43.024142,4.988306,-25.980762,3.935219,-8.923526,-37.173274,-0.800207,1.662769,-41.967591,-1.053087,-25.533893,11.254866,-41.971055,-11.254866,11.802194,7.260757,-9.782623,-0.862561,-6.26656,43.024142,10.58283,-8.923526,-2.272451,-11.445392,-11.639381,-29.721992,1,cluster1
11,2.663894,-318.264336,20.218229,335.948575,20.143751,-1.541525,0.148956,-0.784619,318.264336,-320.651102,-0.640859,-299.208313,1.851562,-3.261452,-321.574285,-2.558239,0.284056,-336.970485,1.906988,-317.628673,18.770235,-320.528126,-17.789894,22.107897,2.849224,-16.785304,0.902398,-16.698702,320.630317,17.822803,-5.062785,-2.191044,-17.145571,-1.971074,-317.346349,1,cluster1
12,7.82887,-450.887466,107.605388,558.291937,106.850214,-5.403999,-1.29211,-3.356714,450.870146,-455.588252,3.013768,-347.639918,9.373859,-10.665969,-452.820435,-4.454835,-1.09812,-554.425999,4.049535,-449.806667,104.882605,-457.230236,-103.590495,114.062474,9.453533,-99.101019,-1.635056,-103.195587,455.588252,98.775393,-10.683289,-7.63488,-99.786911,-4.797781,-450.246607,1,cluster0
13,3.152332,-44.860116,9.006664,49.155602,18.39438,-1.558846,1.558846,-3.152332,41.742424,-48.012448,0,-28.093864,3.607862,-6.725553,-46.418962,-1.558846,1.558846,-48.700073,2.049016,-35.472401,15.242047,-48.467978,-13.683201,14.173372,6.725553,-10.07534,-1.558846,-9.006664,48.012448,10.07534,-8.31904,-3.607862,-10.07534,-6.270024,-37.031246,1,cluster1
14,9.89001,-344.574188,36.610358,393.539264,53.295203,-4.936345,-0.176669,-3.535116,353.234442,-361.059847,-1.229756,-312.27144,2.007447,-8.973755,-360.625102,-5.125138,0.782887,-395.680079,3.413872,-348.899119,42.180633,-358.324939,-50.04068,47.454728,5.873384,-37.37246,-8.64813,-46.098532,360.453629,37.543933,-13.9101,-13.927421,-47.421819,-18.515623,-351.346506,1,cluster1
15,3.689268,-429.934848,94.162942,523.598959,100.406985,-2.308824,1.345803,1.827314,427.735143,-432.661096,2.818047,-332.363229,8.329432,-13.364504,-431.434804,-5.390142,-0.727461,-515.532799,10.529137,-427.236312,96.362647,-443.917694,-97.199227,108.254908,14.201085,-86.079461,-4.245257,-93.653719,435.570941,84.252147,-15.690648,-14.928546,-87.660823,-10.998523,-426.863922,1,cluster0
16,8.157959,-185.329436,56.063021,235.766756,52.048127,-4.901704,0,-2.514938,185.329436,-188.585692,0,-128.362285,6.429373,-12.959204,-190.972458,-5.643022,0,-231.706829,8.0575,-182.814499,54.580385,-193.386937,-52.952257,62.492393,9.685628,-45.636075,0.741318,-52.952257,188.585692,44.749265,-16.21546,-8.0575,-45.636075,-3.256256,-182.073181,1,cluster1
17,2.442192,-797.903846,169.818921,961.807813,160.8902,-4.295486,0,3.4208,799.116281,-798.475422,-0.640859,-630.275968,62.061112,-63.221587,-806.122427,-5.222133,-0.640859,-905.020796,61.420254,-802.537081,160.483168,-858.68324,-161.764885,228.173445,61.420254,-103.124573,2.779942,-161.124026,798.475422,106.545373,-65.074881,-61.420254,-103.124573,-1.212436,-798.475422,1,cluster0
18,6.425908,-120.931787,7.733607,125.902773,11.743304,-2.546115,-0.956092,-4.352644,121.243557,-125.760745,-1.905256,-114.973533,1.001125,-4.520653,-123.625126,-4.29029,-0.013856,-129.21965,0.69282,-116.57568,8.062697,-121.309374,-6.136656,10.955221,5.178832,-4.638432,-1.446262,-4.861867,127.025142,3.178313,-8.712216,-3.238935,-5.282755,-7.049447,-115.458507,1,cluster1
19,12.124356,-320.838163,160.788009,484.194803,153.165253,-12.429197,-2.676018,-2.165064,319.764292,-323.330585,7.368144,-163.99057,7.551742,-12.960936,-315.855053,-2.483761,0.188794,-480.94894,-1.62986,-318.733722,160.507416,-320.089917,-157.384529,162.178845,12.67688,-150.525607,-8.45414,-159.123508,327.158417,143.961135,-9.403304,-6.632023,-154.829754,-8.227241,-322.196091,1,cluster0
20,0,-39.837169,16.851122,55.425626,15.588457,0,-1.262665,2.52533,39.837169,-38.574504,0,-24.248711,5.376286,-6.638951,-41.099834,-2.52533,1.262665,-50.04934,6.638951,-41.099834,14.325792,-45.213454,-13.063127,23.490073,6.638951,-7.686841,1.262665,-15.588457,38.574504,10.212172,-6.638951,-6.638951,-8.949507,0,-39.837169,1,cluster1
21,5.944398,-3912.728755,117.15072,4024.125603,115.97639,-3.890186,-0.729193,-2.121762,3912.574603,-3915.97635,0.890274,-3797.82104,3.730837,-7.868707,-3916.681295,-4.337055,0.045033,-4024.127335,4.089372,-3908.571833,115.032422,-3916.445736,-112.848306,118.034066,5.99636,-109.756596,-0.031177,-111.963228,3916.355669,108.566677,-10.667701,-4.685197,-110.044116,-4.794317,-3909.470767,1,cluster0
22,-0.699749,-53.797498,22.185839,79.674337,25.876839,0,-0.699749,2.100978,58.889727,-58.889727,0,-32.31314,2.620593,-8.412571,-59.591208,-2.100978,0.699749,-72.662995,7.712822,-60.290957,24.47561,-65.902801,-23.076113,29.898661,14.204549,-10.972542,-4.390749,-25.175358,58.189979,8.681039,-8.412571,-14.204549,-18.164017,-4.392481,-58.889727,1,cluster1
23,7.049447,-117.502327,10.820121,129.176349,8.642934,-6.044857,-1.234952,-0.623538,119.511506,-122.294911,2.009179,-107.820163,1.728587,-8.003807,-121.688694,-4.41673,0.230363,-129.377267,-0.050229,-118.657605,9.514155,-120.235503,-9.283792,11.774481,5.977307,-6.470942,-2.86308,-8.739928,121.290322,4.842814,-6.999217,-3.968128,-8.710484,-4.018358,-119.511506,1,cluster1
24,2.494153,-144.861801,39.123564,180.133284,38.105118,-2.833635,-0.339482,1.018446,142.367648,-141.688684,-0.339482,-103.923048,9.46739,-9.127908,-142.367648,-0.678964,0,-168.850705,9.46739,-143.046612,37.086672,-151.156074,-37.426154,48.251471,9.46739,-28.298246,0.339482,-37.765636,144.182837,29.316692,-9.46739,-9.46739,-28.637728,0,-142.028166,1,cluster1
25,5.944398,-3910.996704,117.15072,4022.393552,115.97639,-3.890186,-0.729193,-2.121762,3910.842552,-3914.2443,0.890274,-3796.08899,3.723909,-7.861779,-3914.949244,-4.337055,0.045033,-4022.402212,4.082444,-3906.839782,115.032422,-3914.706757,-112.848306,118.027138,5.989432,-109.763524,-0.031177,-111.963228,3914.623619,108.573605,-10.660773,-4.678269,-110.051044,-4.794317,-3907.738717,1,cluster0
26,2.494153,-144.861801,39.123564,180.133284,38.105118,-2.833635,-0.339482,1.018446,142.367648,-141.688684,-0.339482,-103.923048,9.46739,-9.127908,-142.367648,-0.678964,0,-168.850705,9.46739,-143.046612,37.086672,-151.156074,-37.426154,48.251471,9.46739,-28.298246,0.339482,-37.765636,144.182837,29.316692,-9.46739,-9.46739,-28.637728,0,-142.028166,1,cluster1
27,2.892525,-75.638659,18.5468,93.548064,32.320068,0,8.642934,-10.898064,75.638659,-84.298913,5.767729,-66.389507,7.397589,-4.522385,-84.918987,5.130334,0,-98.306008,4.522385,-76.276053,25.914944,-80.161043,-28.790149,25.944389,4.522385,-19.137429,-5.130334,-20.147215,92.941846,19.774824,-7.41491,-4.522385,-10.494496,-5.767729,-78.513863,1,cluster1
28,0,-56.5861,13.894512,81.406388,24.820288,0,-0.609682,1.219364,62.353829,-61.744147,0,-43.30127,6.318521,-6.928203,-62.963511,-1.219364,0.609682,-75.087867,6.928203,-62.963511,18.442877,-68.67235,-23.600924,26.590444,6.928203,-11.514674,-5.158047,-24.820288,61.744147,12.734038,-6.928203,-12.695932,-17.892085,-5.767729,-62.353829,1,cluster1
29,-3.41214,-223.434554,111.095471,334.372408,117.692852,-3.377499,-1.920844,-2.424871,222.308721,-226.017042,1.125833,-106.867535,3.859009,-8.03152,-220.180031,-0.952628,-0.330822,-334.379337,10.317827,-220.214672,108.493931,-226.16773,-116.740224,108.959852,8.03152,-109.992154,-2.094049,-117.204414,237.310013,107.567283,-8.03152,-5.779854,-113.038832,-5.629165,-220.057055,1,cluster0
30,10.149818,-106.243997,18.855105,115.441186,25.443826,-6.079498,-4.052999,-6.588721,102.190998,-110.314316,-2.026499,-90.967308,5.431711,-5.431711,-107.778594,-1.534597,-2.026499,-117.640891,1.378712,-97.628776,13.759412,-103.56971,-15.785911,22.260317,5.431711,-13.915296,3.561096,-15.785911,112.340815,11.396894,-11.52853,-3.405212,-15.941796,-6.096819,-92.04118,1,cluster1
31,0,-63.981957,22.71065,98.778858,24.300673,0,-0.609682,4.267773,74.478185,-73.868503,-5.248114,-55.425626,6.160905,-6.770587,-78.136276,-4.267773,0.609682,-95.666362,6.770587,-78.136276,15.394468,-80.639089,-20.0329,34.729351,6.770587,-11.67229,-1.590023,-16.004149,73.868503,15.940064,-6.770587,-17.266815,-17.530086,-10.496228,-79.726299,1,cluster1
32,10.756036,-153.374831,22.951405,168.528544,22.793789,-6.237115,-1.01325,-6.46921,153.374831,-161.557039,0.310037,-133.229348,-0.786351,-7.861779,-158.671442,-4.129209,-0.079674,-170.79753,2.407551,-148.23064,22.636172,-154.611515,-19.599887,20.992456,5.681127,-16.099412,-1.092924,-17.72754,160.621732,11.968471,-13.163586,-2.407551,-16.645008,-6.079498,-148.073024,1,cluster1
33,16.731611,-29.967943,9.183333,38.105118,8.660254,-8.888885,0,-8.365805,29.967943,-37.810669,7.842726,-29.150415,11.833371,-10.787212,-20.555979,0.523079,-0.523079,-43.526437,-5.421319,-21.602138,8.137175,-32.38935,-9.183333,11.60474,11.310292,-5.715768,-8.888885,-8.660254,37.810669,5.715768,-11.310292,-2.944486,-5.715768,-8.365805,-29.444864,1,cluster1
34,5.568543,-458.439208,46.072551,503.333965,54.317113,1.177795,1.177795,-5.031608,453.72803,-464.32818,2.355589,-403.264729,10.16021,-5.449032,-458.759637,0,1.177795,-496.707138,5.128602,-446.661262,56.672702,-472.453231,-46.072551,59.766145,7.804621,-45.334698,-2.355589,-47.250346,459.617002,48.868081,-11.338005,-8.661986,-47.690287,-5.888973,-451.052011,1,cluster1
35,8.8681,-38.86722,17.498909,49.259525,19.260405,0,-0.533472,-5.662074,43.30127,-51.635899,-4.43405,-41.777065,4.276433,-4.809905,-45.973825,-3.206026,0.533472,-55.990274,4.809905,-37.105724,7.71975,-47.577704,-7.186279,22.308814,4.809905,-5.048928,2.672554,-3.819172,51.635899,8.254954,-13.678005,-9.243955,-5.5824,-13.30215,-38.86722,1,cluster1
36,-0.755174,-45.137244,22.29669,71.014083,25.876839,0,-0.755174,2.267255,50.229473,-50.229473,0,-23.59746,1.326751,-7.174154,-50.98638,-2.267255,0.755174,-65.352009,6.41898,-51.741554,24.364759,-55.89328,-22.85441,28.71567,13.021558,-12.100107,-4.335323,-25.119933,49.474299,10.030306,-7.174154,-13.021558,-19.457859,-4.337055,-50.229473,1,cluster1
37,9.266472,-414.400084,138.896618,545.699927,137.611437,-7.142978,-2.66909,-3.223347,414.382763,-418.877435,-1.254005,-276.331386,7.991682,-14.041736,-421.934505,-3.940416,-1.962414,-542.178668,7.726679,-411.019121,136.360896,-420.715141,-136.199815,145.351972,13.615651,-126.384283,-0.408764,-134.395018,420.540204,121.480847,-16.99315,-11.069537,-128.204669,-8.383126,-409.733939,1,cluster0
38,5.888973,-320.498681,109.003153,429.479318,107.335189,-5.040268,-1.818653,-1.55365,321.330066,-325.400385,1.680089,-216.523671,6.910883,-9.578241,-323.829415,-4.318003,-0.69282,-425.795246,3.689268,-321.300621,104.818519,-325.712154,-103.84857,113.523806,7.880831,-100.147178,-0.843509,-102.445609,324.55168,99.442233,-8.746857,-7.032126,-101.117126,-4.191563,-321.312745,1,cluster0
39,7.915472,-490.759276,213.75239,704.63291,210.998429,-5.022947,-0.82792,-2.895989,492.924339,-497.119366,-0.727461,-284.783794,7.98995,-10.272793,-495.66098,-4.292022,-0.592361,-700.734063,5.232525,-491.330853,208.98925,-499.476688,-208.16133,220.422518,8.817871,-202.790241,-0.848705,-205.521685,497.829507,202.786776,-11.727716,-10.255473,-203.618161,-7.188011,-493.63448,1,cluster0
40,3.186973,-394.469375,45.767711,441.794199,59.392022,1.269593,4.692126,-5.390142,389.151979,-396.655223,-1.952021,-343.742803,3.945612,-3.316877,-388.256509,-2.738372,3.973325,-444.833949,3.173117,-387.380091,52.837942,-390.821676,-55.579778,58.662829,5.268899,-46.586971,-4.226204,-51.171709,397.192159,51.294685,-10.568974,1.624664,-47.212241,-3.706589,-388.256509,1,cluster1
41,-0.580237,-43.405193,21.946816,69.282032,25.876839,0,-0.580237,1.742443,48.497423,-48.497423,0,-22.040347,1.255737,-6.928203,-49.079392,-1.742443,0.580237,-63.516035,6.347966,-49.659629,24.714633,-54.265152,-23.554159,28.294782,12.60067,-12.695932,-4.51026,-25.29487,47.917186,9.926383,-6.928203,-12.60067,-19.528873,-4.511992,-48.497423,1,cluster1
42,-0.614878,-43.405193,22.016098,69.282032,25.876839,0,-0.614878,1.846366,48.497423,-48.497423,0,-22.005706,1.221096,-6.928203,-49.114033,-1.846366,0.614878,-63.585317,6.313325,-49.728911,24.645351,-54.19587,-23.415595,28.329423,12.635311,-12.62665,-4.475619,-25.260229,47.882545,9.995665,-6.928203,-12.635311,-19.563514,-4.477351,-48.497423,1,cluster1
43,6.425908,-117.467686,7.995147,122.750441,12.055074,-2.857884,-1.267861,-4.402873,117.779455,-122.608413,-1.905256,-111.509431,0.937039,-4.768336,-120.110795,-4.24006,-0.013856,-125.769405,0.628734,-113.061349,8.112926,-117.469418,-6.186885,10.840906,5.114746,-4.702518,-1.496492,-4.600327,123.561041,2.8804,-8.64813,-3.174849,-5.346841,-7.049447,-111.994405,1,cluster1
44,2.701999,-591.084855,63.881498,650.281155,70.125541,-0.96302,-2.378106,-1.167402,586.777244,-591.346394,0.838313,-523.403237,3.651163,-5.904561,-587.414639,-1.726855,-1.541525,-653.828395,3.715249,-584.837347,62.095754,-591.008645,-66.14702,67.789005,7.96397,-62.426575,0.445137,-66.983601,596.495781,60.80884,-6.867581,-3.264916,-65.450736,-6.754998,-582.661892,1,cluster0
45,9.405036,-1343.080694,227.809715,1563.141213,233.497769,-2.19624,1.143154,-3.554168,1338.127028,-1346.444336,0.921451,-1120.931321,9.126176,-13.75768,-1343.032196,-7.032126,3.190438,-1563.049414,8.661986,-1333.620232,223.805213,-1347.53726,-224.404503,240.545484,10.740447,-215.551991,1.385641,-220.736019,1348.003182,219.06459,-17.807214,-7.865243,-215.465388,-10.946561,-1335.65366,1,cluster0
46,8.798818,-765.647863,23.810502,778.591479,28.319031,-3.528187,-1.960682,-7.96397,764.920402,-774.188606,-0.912791,-747.293321,1.105048,-3.768943,-769.763216,-0.770763,-1.238416,-784.925589,1.84117,-757.69775,22.573818,-765.758715,-20.325616,21.396024,7.29713,-17.155963,-0.704945,-19.506356,775.106593,13.210352,-12.960936,-2.499349,-19.047363,-10.23642,-756.144101,1,cluster0
47,9.491638,-155.070509,6.408588,174.937132,31.904376,-8.590972,-6.599114,-4.278165,159.383315,-174.261632,-1.69741,-147.25896,2.802458,-9.436213,-169.966146,-2.615397,0.588897,-174.42098,-0.88681,-153.650227,14.427983,-162.203094,-19.866623,14.13007,5.972111,-9.010128,-8.313844,-14.185496,169.966146,7.312719,-12.865673,-11.150943,-23.351509,-18.06529,-153.373099,1,cluster1
48,6.044857,-5265.883056,337.140226,5595.286211,342.552884,-5.899365,-1.342339,-6.945524,5264.111168,-5274.056604,-0.668572,-4934.306178,14.881781,-11.873208,-5271.153687,-1.519009,-1.808261,-5590.616602,6.860653,-5259.53509,330.629447,-5272.412888,-332.945199,343.129657,12.086251,-323.848468,-2.010911,-329.552111,5272.302036,323.138327,-18.500035,-8.610025,-324.80456,-10.392305,-5259.077829,1,cluster0
49,5.809298,-1556.756874,67.071935,1621.459364,79.386817,-3.931755,-0.73439,-5.556419,1552.021447,-1562.112375,0.623538,-1488.157269,9.133104,-9.434481,-1556.448568,-2.227417,0.502295,-1616.923122,5.093961,-1547.712104,68.73124,-1560.804676,-69.198894,75.879414,8.58924,-61.874051,-1.901792,-64.678241,1561.765964,63.117663,-13.400877,-6.552348,-63.141912,-7.818477,-1545.976589,1,cluster0
50,9.976613,-57.157677,24.110147,77.942286,20.78461,-9.976613,-3.325538,-6.651075,53.832139,-60.483214,3.325538,-29.721992,4.76314,-11.414215,-63.808752,-9.976613,-3.325538,-69.853609,4.76314,-53.832139,24.110147,-58.595279,-17.459072,25.547749,8.088677,-16.02147,0,-17.459072,60.483214,9.370395,-11.414215,-4.76314,-16.02147,-3.325538,-50.506602,1,cluster1
51,0.606218,-306.801624,52.15205,356.906389,54.472998,-4.99177,1.71473,-3.380963,308.100662,-311.751825,-1.23322,-259.339967,9.796479,-5.66727,-314.758665,-2.348661,0.256344,-361.624496,8.182208,-306.434429,45.466334,-312.313009,-54.012272,53.38527,7.506708,-46.134905,-0.959556,-50.66595,318.05649,49.093248,-12.598938,-6.259632,-48.836905,-10.080536,-308.772697,1,cluster1
52,2.71932,-1297.394389,76.166934,1372.927393,77.38803,-3.067462,-0.710141,-2.521866,1298.502902,-1301.878669,-1.473975,-1225.720395,3.815708,-4.314539,-1301.052481,-1.979734,-0.174937,-1372.68837,2.618861,-1296.587254,73.949909,-1299.838313,-73.84945,78.073922,3.398284,-71.460952,-0.306573,-70.885911,1302.086515,71.12147,-6.238847,-3.848617,-71.443632,-4.035678,-1297.600504,1,cluster0
53,4.364768,-120.543808,28.637728,151.138753,31.627248,-7.579454,-0.342946,-3.678876,113.996656,-119.16856,3.332466,-87.884258,9.510691,-5.606648,-121.004534,-1.835974,-2.87174,-138.295597,6.638951,-120.886754,30.251999,-121.442742,-27.60889,34.244377,6.638951,-20.280583,-2.87174,-25.080096,123.533328,20.966475,-6.638951,-4.456567,-20.623529,2.182384,-117.329122,1,cluster1
54,0.623538,-302.230742,51.499067,351.069378,54.490318,-4.993502,1.730319,-3.393088,302.906241,-306.571261,-0.611414,-254.161136,9.80514,-5.691519,-309.546924,-2.369446,0.273664,-355.816929,8.208189,-301.226152,45.443817,-307.123785,-54.043449,52.773856,7.515368,-46.124513,-0.975145,-51.322397,312.893246,49.105372,-12.642239,-5.644754,-48.845565,-9.491638,-302.953007,1,cluster1
55,5.629165,-181.726771,52.65088,233.688295,51.944204,-3.75855,0,0.689356,183.597386,-185.468,0,-129.747926,3.464102,-7.222652,-189.915907,-6.318521,0,-234.654779,3.464102,-184.286742,49.401553,-187.061487,-51.272168,57.985597,3.464102,-48.497423,0.689356,-51.272168,185.468,51.057394,-9.093267,-5.334716,-50.368037,-3.74123,-181.726771,1,cluster1
56,9.853637,-254.892061,101.454876,348.73111,106.817305,-5.526974,-2.227417,-4.84801,252.985073,-259.00395,-0.105655,-153.40774,7.227848,-11.062609,-261.061626,-5.111282,-1.586559,-352.190015,3.839957,-247.816633,101.020131,-256.398945,-102.501035,108.897498,7.548277,-97.713646,0.853901,-101.446216,260.593972,95.707931,-13.904904,-5.8526,-98.245386,-8.034984,-246.540112,1,cluster1
57,13.146266,-86.152207,20.420879,104.373382,13.856406,-13.146266,-4.382089,-4.382089,88.334591,-97.098768,-2.182384,-70.096096,6.308129,-19.454395,-97.098768,-8.764177,0,-98.065253,6.308129,-83.952503,13.856406,-90.260632,-13.856406,22.34692,6.308129,-7.548277,0,-7.291934,92.71668,3.166189,-19.454395,-8.490513,-7.548277,-6.564473,-86.134887,1,cluster1
58,6.287344,-344.851316,109.03433,452.844684,105.637779,-4.711178,-0.779423,-0.535204,345.630739,-348.765751,1.576166,-239.975639,6.386071,-8.74166,-349.789393,-5.73482,-0.779423,-451.43133,3.233739,-346.654381,103.834714,-350.440644,-103.055291,113.844235,7.165494,-100.845194,0.244219,-102.275868,348.765751,101.886157,-8.74166,-6.368751,-101.624617,-3.914435,-345.630739,1,cluster0
59,8.729536,-488.992584,213.646735,702.9355,210.305609,-5.819691,-0.841777,-3.091711,491.174968,-495.425421,-0.727461,-282.324282,7.986486,-11.010647,-494.516094,-4.910364,-0.613146,-698.903285,5.190956,-489.423865,209.146867,-497.706532,-208.30509,220.292614,8.828263,-202.817953,-1.023642,-205.623876,496.152882,202.636088,-12.46557,-10.283186,-203.65973,-7.274613,-491.902429,1,cluster0
60,4.08764,-432.302561,113.293443,544.574094,117.381083,-3.06573,-0.445137,-2.620593,429.236831,-432.879334,4.08764,-319.009118,18.513891,-17.937118,-430.258741,-1.467047,-0.576773,-530.724616,12.827568,-427.193011,114.315353,-445.706902,-113.870216,129.186742,17.937118,-100.020738,-2.04382,-112.71667,433.901244,99.443965,-15.893298,-14.871388,-99.443965,-4.08764,-429.236831,1,cluster0
61,17.124786,-114.332674,19.77136,121.884415,28.873287,-4.901704,-0.074478,-13.115089,113.916982,-127.011286,-0.814064,-104.212301,2.565167,-5.51485,-118.614303,-3.252791,-0.323894,-131.412427,1.370052,-102.320901,18.74945,-116.009299,-18.998865,22.336527,3.112495,-16.662329,-0.169741,-18.806608,128.564935,16.317651,-18.210782,-3.129816,-17.284135,-13.435518,-102.433485,1,cluster1
62,1.473975,-128.429835,12.922831,142.946153,18.011596,-1.593487,1.610807,-1.610807,129.903811,-133.347128,0,-115.267981,2.497617,-5.701911,-129.903811,-0.119512,3.084782,-142.873407,0.784619,-127.615771,17.0607,-131.587364,-18.569317,17.048576,5.701911,-12.850085,-3.323805,-15.347702,131.514618,11.358789,-3.294361,-4.210616,-13.76634,-4.69559,-133.108105,1,cluster1
