@relation spambase-weka.filters.unsupervised.attribute.RandomProjection-N20-R42-DSparse1_clustered

@attribute Instance_number numeric
@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute K11 numeric
@attribute K12 numeric
@attribute K13 numeric
@attribute K14 numeric
@attribute K15 numeric
@attribute K16 numeric
@attribute K17 numeric
@attribute K18 numeric
@attribute K19 numeric
@attribute K20 numeric
@attribute Class {1,0}
@attribute Cluster {cluster0,cluster1}

@data
16,3.256256,1.628128,0,-4.901704,-53.693575,40.751691,-3.273576,1.628128,-9.786087,177.271936,-1.628128,185.329436,188.585692,185.329436,181.16905,190.972458,-186.070754,-48.050554,-130.894544,-3.256256,1,cluster1
17,0,0,-1.212436,-3.654627,-165.185686,103.124573,-3.654627,0.640859,-3.654627,735.201874,0,798.475422,798.475422,797.834563,798.241595,805.55085,-803.108658,-155.616105,-629.868936,-0.640859,1,cluster1
18,7.361216,1.610807,0.949164,-1.596951,-6.301201,-4.018358,0.342946,0.017321,-8.65679,118.642016,-1.922576,121.243557,126.062122,119.961839,122.360729,123.625126,-121.719871,-4.234864,-111.61855,-6.408588,1,cluster1
19,6.581793,-2.217025,-3.767211,-4.321467,-164.061585,139.449143,4.996967,0.322161,-11.111106,314.765593,-5.507922,326.006603,325.391725,319.085328,318.913855,321.719777,-319.502752,-151.171662,-154.869591,-4.167314,1,cluster1
20,0,0,-1.262665,-1.262665,-14.325792,8.949507,-1.262665,0,1.262665,31.935553,0,39.837169,41.099834,39.837169,41.099834,41.099834,-41.099834,-14.325792,-21.723381,0,1,cluster1
21,3.964664,1.525937,0.206114,-2.632717,-114.185449,104.084129,-1.058283,1.491296,-6.493458,3907.064949,-1.250541,3913.151375,3917.427809,3912.607512,3911.635831,3915.893212,-3912.875979,-110.104738,-3797.282373,-1.868883,1,cluster1
22,0,5.092229,-0.699749,0,-25.177091,7.979558,9.48471,5.092229,-4.392481,49.777408,-4.392481,63.981957,53.797498,58.889727,59.591208,55.898476,-60.290957,-19.383381,-41.09637,-5.791978,1,cluster1
23,2.009179,1.004589,-0.230363,-3.261452,-12.448249,0.673768,2.766085,2.009179,-6.819084,117.322194,-2.009179,120.516095,119.741868,117.502327,118.640284,121.688694,-119.662194,-3.469298,-109.465611,-3.013768,1,cluster1
24,0,0,-0.339482,-0.339482,-40.599271,28.637728,-2.833635,2.833635,0.339482,131.881813,0,142.028166,142.367648,141.688684,145.201283,140.212977,-142.70713,-39.580825,-102.565121,2.154671,1,cluster1
25,3.964664,1.525937,0.206114,-2.632717,-114.185449,104.091057,-1.058283,1.491296,-6.493458,3905.339826,-1.250541,3911.419325,3915.695758,3910.875461,3909.90378,3914.161161,-3911.143929,-110.104738,-3795.550322,-1.868883,1,cluster1
26,0,0,-0.339482,-0.339482,-40.599271,28.637728,-2.833635,2.833635,0.339482,131.881813,0,142.028166,142.367648,141.688684,145.201283,140.212977,-142.70713,-39.580825,-102.565121,2.154671,1,cluster1
27,5.767729,0,2.875204,0,-20.78461,10.494496,0,-5.767729,-5.767729,82.651732,0,87.174117,81.406388,81.406388,76.276053,82.043783,-82.043783,-20.147215,-54.216654,-5.767729,1,cluster1
28,0,0,-0.609682,-0.609682,-24.210606,12.124356,5.158047,0,0.609682,54.815944,0,68.121558,57.195782,62.353829,62.963511,57.195782,-62.963511,-18.442877,-47.849636,-5.767729,1,cluster1
29,4.503332,0,0.330822,-5.298343,-122.561647,104.032168,-8.710484,0,-4.834154,228.152661,-1.125833,225.68622,224.229565,222.308721,224.718004,224.718004,-223.592171,-113.031904,-96.873602,7.915472,1,cluster1
30,8.123318,-2.026499,0,-2.026499,-17.320508,3.765478,0,2.026499,-6.096819,98.785786,0,100.164498,110.314316,104.217497,109.805093,101.699095,-103.725595,-19.83891,-79.282894,-2.04382,1,cluster1
31,5.248114,0,4.638432,4.638432,-18.442877,12.281972,4.638432,0,0.609682,67.097916,0,79.726299,64.591639,79.726299,78.136276,72.888162,-78.136276,-10.146354,-56.405967,-10.496228,1,cluster1
32,6.079498,1.870615,-0.077942,-5.222133,-19.599887,7.759588,-0.545596,2.963539,-13.951669,151.977066,-3.273576,153.684868,158.907001,154.462559,150.878946,158.361405,-152.749561,-12.815444,-134.864404,-5.301808,1,cluster1
33,8.365805,0,0,0,-17.549139,-11.015843,8.365805,0.523079,-8.365805,25.977298,0,29.444864,37.810669,20.555979,29.444864,29.444864,-29.444864,-8.137175,-11.895725,-8.888885,1,cluster1
34,2.355589,2.355589,0,0,-48.428141,40.62352,2.355589,1.498224,-4.711178,450.634587,-0.857365,459.617002,460.794797,457.261413,455.226253,459.617002,-460.794797,-49.926365,-405.299889,-2.355589,1,cluster1
35,13.30215,0,3.900578,3.900578,-5.424783,-3.2857,-0.533472,0,-8.334628,37.957893,0,43.30127,48.268792,47.73532,45.973825,45.973825,-45.973825,-3.2857,-29.702939,-13.30215,1,cluster1
36,0,5.092229,-0.755174,0,-25.121665,9.2734,9.429285,5.092229,-4.337055,42.300145,-4.337055,55.321703,45.137244,50.229473,50.98638,47.404499,-51.741554,-19.272529,-32.269839,-5.847404,1,cluster1
37,6.720357,0.848705,0.691088,-5.197884,-136.213672,117.275428,-1.820385,3.782799,-10.806265,403.159074,-2.528794,413.111438,416.646554,414.368907,414.788063,417.351498,-413.956679,-128.791834,-276.603318,-3.782799,1,cluster1
38,3.360179,-0.848705,0.69282,-0.987269,-107.196624,96.076858,2.355589,0.831384,-4.901704,316.653529,-0.831384,321.312745,323.997424,321.312745,324.6608,324.67812,-322.149326,-98.964187,-213.851117,-2.511474,1,cluster1
39,6.47787,0,2.757425,0.592361,-209.443048,197.867752,0.575041,1.420282,-6.360091,486.846573,-0.710141,493.63448,494.479721,495.072082,494.898877,495.6783,-494.223377,-202.528701,-281.912054,-5.767729,1,cluster1
40,9.023985,1.056551,-0.60795,-2.738372,-52.231724,43.505652,2.544383,-6.535028,-2.561703,387.840817,-1.056551,396.223943,394.181855,390.548012,394.452055,392.858568,-397.084772,-45.424764,-332.337249,-5.138995,1,cluster1
41,0,5.092229,-0.580237,0,-25.296602,9.344414,9.604222,5.092229,-4.511992,40.988982,-4.511992,53.589652,43.405193,48.497423,49.079392,45.147636,-49.659629,-19.622404,-31.062599,-5.672466,1,cluster1
42,0,5.092229,-0.614878,0,-25.261961,9.379055,9.569581,5.092229,-4.477351,40.954341,-4.477351,53.589652,43.405193,48.497423,49.114033,45.251559,-49.728911,-19.553122,-30.958676,-5.707107,1,cluster1
43,7.361216,1.299038,0.949164,-1.596951,-6.301201,-3.954272,0.342946,0.017321,-8.65679,115.242,-1.922576,117.467686,122.59802,116.497737,119.158167,120.110795,-117.89377,-3.973325,-108.204678,-6.096819,1,cluster1
44,7.00961,-0.254611,0.323894,-3.024161,-69.806844,54.89735,-1.927773,0.316965,-3.476226,586.609235,-0.900666,588.770835,589.797941,585.947592,592.176047,588.573381,-589.023714,-65.052364,-512.799622,1.99359,1,cluster1
45,12.522727,-0.259808,1.385641,-1.229756,-223.032718,207.636519,-2.009179,-3.536848,-5.837011,1330.355316,-0.779423,1345.041375,1346.530939,1342.048391,1342.353232,1345.245757,-1344.206527,-213.378267,-1108.173035,-4.828958,1,cluster1
46,9.422356,1.887935,-1.129297,-3.519527,-20.775949,6.074302,1.468779,2.385034,-12.276776,761.250186,-2.701999,765.150765,772.671329,765.79682,767.004059,767.489033,-766.623008,-17.446948,-741.994978,-6.611238,1,cluster1
47,9.456997,-4.295486,0.277128,-5.750409,-17.597636,4.437514,8.85078,-0.848705,-8.885421,158.832523,0,170.555043,156.525431,164.527506,169.948825,157.945713,-162.223879,-5.819691,-154.117881,-8.625613,1,cluster1
48,7.868707,-3.244131,-1.047891,-2.532258,-333.958448,316.825002,1.965878,-0.382783,-8.980683,5251.604029,-0.086603,5268.020407,5270.107528,5264.223751,5267.434974,5268.058512,-5267.850666,-326.425759,-4927.177057,-3.677144,1,cluster1
49,7.697234,-1.860223,0.079674,-1.202043,-68.513002,56.65365,2.002251,-2.296699,-6.505583,1548.081031,0.062354,1558.35036,1559.420768,1554.162261,1558.433499,1556.618309,-1556.521315,-64.789093,-1482.950725,-3.415604,1,cluster1
50,3.325538,0,0,-6.651075,-20.78461,12.695932,0,3.325538,-13.30215,52.394537,-3.325538,53.832139,63.808752,57.157677,57.157677,63.808752,-53.832139,-7.482459,-36.373067,0,1,cluster1
51,8.1926,0,-0.207846,-3.983717,-55.498372,41.285163,-2.113102,-1.312895,-4.884383,303.635435,0,314.436504,310.868479,313.255245,310.241477,312.804912,-316.598103,-40.426066,-250.142778,-2.480297,1,cluster1
52,4.43405,-0.883346,1.610807,-0.311769,-73.423366,68.67235,-0.173205,-0.188794,-4.382089,1295.63809,-0.259808,1298.033516,1300.54499,1300.162207,1300.27479,1300.742444,-1298.57738,-69.741026,-1223.338825,-3.102103,1,cluster1
53,0,-2.182384,-0.342946,-4.707714,-32.316604,27.170681,-0.342946,1.032302,-1.839438,113.679691,0,119.511506,117.672068,120.661587,124.21922,119.854452,-117.672068,-23.704847,-86.166064,3.332466,1,cluster1
54,7.603703,0,-0.833116,-4.626308,-56.156551,41.259182,-2.132155,-1.328483,-4.899972,298.444478,0,309.274992,306.297597,307.433822,305.031468,307.612223,-311.422735,-41.009767,-244.922376,-1.875811,1,cluster1
55,1.870615,0,0,-3.75855,-53.832139,46.626808,-1.887935,0,-5.629165,180.133284,0,185.468,183.597386,183.597386,182.398806,188.045292,-186.157357,-45.643003,-130.946505,-3.74123,1,cluster1
56,8.246294,-1.906988,1.375248,-5.636093,-101.870568,88.409069,-4.046071,0.21131,-9.533208,246.495079,0.105655,251.18374,259.644808,252.668108,253.821654,257.67027,-252.143296,-97.5058,-147.395792,-4.643628,1,cluster1
57,6.564473,-4.382089,2.182384,-6.581793,-11.674022,3.166189,-8.764177,0,-13.146266,82.026462,0,83.952503,90.534296,90.516975,83.952503,97.098768,-83.952503,1.472243,-74.478185,-2.182384,1,cluster1
58,3.135012,0,0.779423,-1.576166,-107.231265,96.913439,1.558846,0.779423,-5.490601,341.600256,-0.779423,346.410162,347.986328,345.613418,348.213226,350.586136,-348.230547,-98.361433,-237.358511,-3.135012,1,cluster1
59,6.547152,0,2.79553,-0.114315,-209.463832,197.840039,-0.114315,1.454923,-7.160298,485.142235,-0.727461,491.902429,492.744206,493.357352,492.33371,494.516094,-492.33371,-201.872254,-280.323763,-5.819691,1,cluster1
60,3.06573,-1.02191,0.576773,-0.445137,-115.914036,95.356325,2.620593,0,-2.620593,415.964126,0,431.280651,434.791518,429.236831,433.324471,431.280651,-430.258741,-112.271533,-314.476341,-1.02191,1,cluster1
61,13.509996,0,0.739586,-2.857884,-19.393773,3.393088,-2.984324,1.229756,-16.293402,112.397973,-0.323894,115.112097,125.400478,115.527789,112.500164,116.338389,-115.016834,-16.68831,-94.088464,-12.354718,1,cluster1
62,4.137869,0.677232,2.407551,0.239023,-15.467214,5.866456,4.815101,0.119512,-3.204294,126.489938,-1.491296,133.227616,129.107067,128.987556,131.395106,128.412515,-129.903811,-9.160817,-116.166916,-1.610807,1,cluster1
63,5.334716,1.177795,0.588897,-5.317396,-28.41949,14.079841,1.160474,2.438728,-12.418804,163.160918,-1.177795,168.043569,171.022697,163.249253,162.220415,169.91072,-167.537811,-21.085987,-138.363147,-4.828958,1,cluster1
64,7.932793,1.247077,-0.517883,-5.731356,-57.781215,47.572507,-1.158742,1.903524,-14.083305,308.457464,-2.494153,311.976991,318.764899,312.567621,309.498427,316.599835,-312.425593,-51.116283,-251.880025,-5.471549,1,cluster1
65,5.715768,0,1.143154,-3.429461,-60.032881,47.65911,2.286307,0,-4.572614,204.063298,0,214.150762,207.291841,211.864455,213.39732,212.254166,-214.540473,-55.070555,-146.869248,-5.715768,1,cluster1
66,2.511474,4.226204,0.704945,-2.672554,-81.789171,72.157237,0.687624,2.206633,-8.291327,328.644516,-3.360179,341.023484,334.481528,338.868812,334.49192,338.752765,-340.398213,-74.836719,-252.124244,-3.038017,1,cluster1
67,10.184459,-2.546115,2.546115,-2.546115,-5.196152,-7.091016,-2.546115,0,-12.730573,27.342154,0,29.444864,37.083208,29.444864,30.310889,32.857004,-27.764774,0.762102,-23.382686,-5.092229,1,cluster1
68,12.124356,-2.546115,0.883346,-1.870615,-116.897841,96.433661,1.939897,0.521347,-12.055074,517.389557,0.519615,530.527162,529.141522,524.826983,528.19409,524.522142,-526.080988,-109.631888,-409.952177,-9.787819,1,cluster1
69,0,3.39482,-3.742962,-0.348142,-102.016061,97.70845,-0.348142,0.173205,0.348142,232.42563,0,244.219164,244.567306,247.440778,244.219164,244.219164,-251.008803,-98.622973,-141.506819,-3.568025,1,cluster1
70,15.32865,2.182384,4.382089,-15.32865,-497.098582,354.013865,-4.382089,0,-8.764177,376.721051,-2.182384,508.841886,506.676823,500.11235,509.789318,509.789318,-505.407229,-494.003407,8.862904,6.529832,1,cluster1
71,3.689268,0,0.767299,-1.068675,-107.340385,95.158871,2.603272,0.917987,-5.374554,317.85384,-0.917987,323.893501,325.897484,322.975514,325.41251,326.330497,-324.494523,-99.546156,-215.650718,-3.689268,1,cluster1
72,5.421319,0,1.415086,-0.905863,-210.975913,197.490165,0.618342,1.524205,-6.836405,479.913174,-0.762102,486.706277,489.170985,486.706277,488.069401,488.900785,-487.34194,-203.555807,-274.824502,-4.659217,1,cluster1
73,5.577204,-0.796743,0,-2.39023,-25.293138,13.205155,3.186973,1.979734,-8.764177,185.608297,-1.593487,192.915819,192.915819,190.139342,192.635227,190.244997,-191.838483,-16.833802,-167.10653,-5.166708,1,cluster1
74,6.668396,0.831384,0.691088,-5.145923,-136.21194,117.883378,-1.820385,3.746426,-10.702342,398.486001,-2.494153,407.932606,411.41576,409.174487,409.588447,412.117241,-408.774383,-128.831671,-271.429682,-3.763746,1,cluster1
75,3.256256,0,-1.628128,0,-427.626024,378.453101,4.901704,0,-3.256256,501.636555,0,557.321988,545.890453,552.420285,553.158138,549.884562,-556.414394,-413.845828,-128.975431,-6.529832,1,cluster1
76,10.23642,0,1.758032,0.736122,-25.525233,15.493194,-1.307698,1.163938,-8.928722,168.750246,0,172.183171,177.59583,175.106873,172.468959,174.512779,-172.468959,-21.153537,-143.756753,-8.334628,1,cluster1
77,6.969772,-1.652376,-0.476314,-2.547847,-77.767349,63.297797,0.528275,-1.349268,-6.590453,1839.874434,-0.427817,1848.607435,1851.335415,1847.23565,1848.496583,1848.560669,-1847.642682,-72.098347,-1762.566079,-0.831384,1,cluster1
78,5.733088,2.892525,-0.727461,-1.420282,-27.782095,17.666918,3.949076,2.909845,-8.660254,299.904597,-2.892525,306.694236,304.581135,303.108891,305.069573,303.337522,-304.757804,-23.257978,-276.570409,-2.199705,1,cluster1
79,9.110587,0,0,0,-18.356274,-12.446517,9.110587,0.585433,-9.110587,13.849478,0,17.320508,26.431095,7.624488,17.320508,17.320508,-17.320508,-8.074821,1.035766,-9.69602,1,cluster1
80,9.612882,0,0,-1.922576,-50.229473,33.565413,-1.922576,0,-11.535458,190.402613,0,197.453792,207.066674,197.453792,198.00978,201.854933,-199.932357,-45.828332,-144.745754,-9.612882,1,cluster1
81,6.20767,-0.855633,0.982073,-4.311074,-484.761184,470.878797,-2.707195,-0.374123,-7.598507,891.166121,-0.398372,901.019758,900.055006,899.689543,897.630135,901.769736,-898.859891,-481.816697,-411.784687,-2.417943,1,cluster1
82,6.270024,0,-0.213042,1.034034,-17.436555,8.703555,8.568455,-2.511474,0.213042,101.553603,0,114.453917,103.339347,104.408023,109.006618,101.472197,-111.518091,-6.746338,-92.010003,-7.551742,1,cluster1
83,6.651075,2.217025,-0.313501,-2.530526,-15.274956,5.835279,4.120549,2.217025,-8.554599,66.62853,-2.217025,76.69521,72.574661,78.912235,75.73219,75.73219,-77.949215,-7.683377,-59.539247,-8.8681,1,cluster1
84,0,0,-0.48151,-0.48151,-46.283862,37.879951,-0.48151,0,0.48151,195.015065,0,204.381995,204.863505,204.381995,205.826526,205.826526,-205.826526,-45.320841,-155.690583,0,1,cluster1
85,5.629165,4.052999,0.673768,-1.751103,-113.523806,102.017793,3.895382,-1.222828,-3.912703,362.007279,-3.221615,379.371088,365.03144,371.777778,368.287695,368.322336,-376.359052,-102.251619,-254.999448,-5.220401,1,cluster1
86,5.317396,1.333679,0.446869,-4.853206,-35.19354,25.57373,0.429549,0.781155,-10.423482,270.930851,-1.991858,274.322207,275.243658,274.216552,271.760504,277.09522,-273.111503,-29.12963,-237.942212,-5.423051,1,cluster1
87,9.595561,0,-0.46419,-5.93747,-50.042412,29.193716,0.904131,1.36832,-9.131372,179.989524,0,186.697757,192.652547,182.592796,188.530266,185.793626,-185.793626,-44.569131,-135.262776,-6.858921,1,cluster1
88,2.805922,1.264397,0.853901,-1.413353,-249.134724,239.816291,-1.137957,0.632199,-3.417336,1456.594107,-0.656447,1464.968573,1465.948914,1464.111208,1462.517721,1465.205864,-1463.056389,-245.741637,-1213.82467,-1.136225,1,cluster1
89,0,15.744342,-1.997055,13.747287,-22.095772,17.511034,-1.997055,0,17.741396,57.239083,0,50.073589,67.814985,65.817931,65.817931,65.817931,-65.817931,-39.837169,-23.983708,0,1,cluster1
90,13.596599,2.909845,3.446781,-6.252703,-241.660925,219.305345,2.476833,3.486618,-13.163586,326.39285,-3.879794,336.017857,341.317932,336.411032,342.74341,339.833565,-336.923719,-238.094632,-86.765353,-9.323629,1,cluster1
91,7.931061,-3.289164,-1.032302,-2.603272,-333.901291,316.43529,1.998787,-0.323894,-9.169477,5247.699987,-0.079674,5264.584018,5266.700584,5260.770042,5264.02803,5264.648104,-5264.381368,-326.39285,-4923.799558,-3.704857,1,cluster1
92,7.737071,-2.419675,-0.597558,-2.85442,-1320.943352,1300.614272,2.208365,-0.833116,-9.621542,4233.887348,-0.294449,4252.144895,4254.595747,4247.492607,4250.319314,4251.982083,-4251.358544,-1315.322847,-2922.380208,-3.594005,1,cluster1
93,7.737071,-2.419675,-0.597558,-2.85442,-1320.94162,1300.614272,2.208365,-0.834848,-9.621542,4233.88908,-0.294449,4252.144895,4254.595747,4247.494339,4250.317582,4251.980351,-4251.356812,-1315.326311,-2922.383673,-3.592273,1,cluster1
94,11.189048,-7.188011,-3.245863,-4.85667,-20.557711,7.707626,-7.264221,-3.372303,-7.943185,166.108869,-0.796743,175.872439,182.322596,176.837191,171.996109,180.015505,-174.40366,-10.435606,-146.273423,-4.629772,1,cluster1
95,4.035678,0,0.796743,0.796743,-57.053754,45.126852,2.424871,-0.814064,-3.238935,152.184912,-1.610807,156.80256,161.669622,155.191752,159.21011,156.81988,-159.21011,-54.628882,-98.155319,-2.442192,1,cluster1
96,4.867063,-0.606218,1.001125,-1.423746,-107.86866,94.485104,1.001125,1.212436,-6.474406,535.61766,-0.606218,542.738121,543.572969,542.131903,544.355856,544.355856,-543.14342,-98.581404,-434.647758,-4.867063,1,cluster1
97,2.979127,0,0.49017,-0.999393,-106.890051,97.064127,1.979734,0.744782,-4.21408,379.393605,-0.744782,384.515279,386.259454,383.770497,385.790069,386.534851,-385.045287,-100.656401,-276.585997,-2.979127,1,cluster1
98,2.095781,0,-1.936433,-1.577898,-29.586892,20.264994,1.181259,0.717069,-1.198579,320.403419,1.075604,333.956716,329.281911,331.860935,332.756405,330.677944,-332.39787,-28.585767,-300.981933,-1.397765,1,cluster1
99,8.608293,-0.710141,2.03516,-0.112583,-32.25425,18.106859,2.017839,0.912791,-8.495709,191.654886,0,198.163933,203.316784,199.416206,197.524806,198.979729,-199.68987,-28.339815,-159.152953,-8.810942,1,cluster1
100,8.590972,7.361216,1.212436,-2.442192,-10.097856,-12.75309,9.820728,7.361216,-18.39438,49.96447,-7.361216,56.863228,55.650792,51.961524,50.177512,50.160191,-52.619704,-2.095781,-51.008896,-13.492676,1,cluster1
101,5.594524,1.108513,-0.327358,-0.164545,-226.571298,207.354194,1.889667,0.491902,-4.158654,486.884678,0.654715,506.867348,507.083855,509.084373,508.343056,505.959754,-509.122478,-224.026916,-278.494717,-7.974362,1,cluster1
102,0,5.767729,-1.058283,-0.530008,-37.046835,34.874843,-1.058283,0,1.058283,103.730791,0.528275,114.315353,114.845361,120.083082,116.435383,117.491934,-122.731388,-35.456812,-72.503647,-6.296005,1,cluster1
103,5.594524,1.108513,-0.327358,-0.164545,-226.571298,207.354194,1.889667,0.491902,-4.158654,486.884678,0.654715,506.867348,507.083855,509.084373,508.343056,505.959754,-509.122478,-224.026916,-278.494717,-7.974362,1,cluster1
104,0,5.767729,-1.058283,-0.530008,-37.046835,34.874843,-1.058283,0,1.058283,103.730791,0.528275,114.315353,114.845361,120.083082,116.435383,117.491934,-122.731388,-35.456812,-72.503647,-6.296005,1,cluster1
105,5.594524,1.108513,-0.327358,-0.164545,-226.571298,207.354194,1.889667,0.491902,-4.158654,486.884678,0.654715,506.867348,507.083855,509.084373,508.343056,505.959754,-509.122478,-224.026916,-278.494717,-7.974362,1,cluster1
106,0,5.767729,-1.058283,-0.530008,-37.046835,34.874843,-1.058283,0,1.058283,103.730791,0.528275,114.315353,114.845361,120.083082,116.435383,117.491934,-122.731388,-35.456812,-72.503647,-6.296005,1,cluster1
107,2.73664,1.36832,-1.768424,-1.569238,-39.073334,28.270533,2.336537,0.601022,-2.336537,279.182341,0.800207,292.352856,291.185454,293.721176,293.554899,290.615609,-294.521383,-36.537612,-253.047427,-5.672466,1,cluster1
108,0,5.767729,-1.058283,-0.530008,-37.046835,34.874843,-1.058283,0,1.058283,103.730791,0.528275,114.315353,114.845361,120.083082,116.435383,117.491934,-122.731388,-35.456812,-72.503647,-6.296005,1,cluster1
109,6.789639,-3.39482,3.39482,-3.39482,-103.923048,86.453584,-3.39482,0,-10.184459,117.491934,0,128.17176,131.566579,128.17176,128.17176,131.566579,-124.77694,-97.133409,-24.248711,0,1,cluster1
110,0,0,4.260845,0,-16.385201,9.89867,4.260845,0,0,60.128144,0,66.614674,58.092984,62.353829,65.65685,61.396005,-65.65685,-8.821335,-51.187298,-4.260845,1,cluster1
111,4.122281,0,-0.254611,-1.622932,-46.51076,38.965947,1.113709,0,-3.867669,110.747329,0,116.047404,119.055976,117.415724,117.415724,116.047404,-116.047404,-46.765372,-69.027421,-4.122281,1,cluster1
112,4.051267,-0.102191,2.632717,0.102191,-137.138587,125.580612,0.658179,1.066943,-4.607255,358.40981,-0.658179,364.906732,366.88127,365.053956,364.804541,366.779079,-364.804541,-133.336735,-227.109966,-3.495279,1,cluster1
113,1.645448,1.645448,-0.632199,-2.277647,-10.57417,4.143066,0.181865,1.645448,-4.304146,132.323486,-1.645448,135.099963,137.37761,134.285899,133.454515,136.745411,-135.099963,-8.746857,-123.261396,-1.645448,1,cluster1
114,6.980165,0.640859,-1.314627,-2.130422,-63.860713,54.306721,2.599808,0.723997,-6.981897,868.549002,-1.2159,885.978629,878.998464,878.168812,881.440656,880.347732,-880.522669,-55.425626,-809.771858,3.225079,1,cluster1
115,4.41673,0.883346,1.610807,-1.03923,-32.753081,25.959978,-1.922576,1.766692,-6.027537,249.307929,-0.883346,253.762764,253.035302,254.64611,252.051498,254.701535,-253.818189,-28.43681,-219.759142,-4.41673,1,cluster1
